Titel,Untertitel,Link,Beschreibung,Stichworte
Deutschland und Frankreich: 1963-2013 | 50 Jahre Élysée Vertrag,"Eine Folge der Serie ""Mit offenen Karten""",https://www.bpb.de/mediathek/178827/deutschland-und-frankreich-1963-2013-50-jahre-elysee-vertrag,"Welche Bedeutung haben die deutsch-französischen Beziehungen 50 Jahre nach der Unterzeichnung der Élysée-Verträge innerhalb der Europäischen Union? ""Mit offenen Karten"" untersucht die Geschichte dieses Verhältnisses nach dem Ende des Zweiten Weltkrie","Elysée-Vertrag, deutsch-französische Beziehungen, Internationale Beziehungen, europäische Union"
Deutschland und Frankreich: Historischer Rückblick,"Eine Folge aus der Reihe ""Mit offenen Karten""",https://www.bpb.de/mediathek/178984/deutschland-und-frankreich-historischer-rueckblick,"2013 feierten Frankreich und Deutschland gemeinsam den 50. Jahrestag der Unterzeichnung des Élysée-Vertrags. Um die Tragweite dieser historischen Vereinbarung zu zeigen, behandelt dieser Film die von drei Kriegen geprägte Geschichte der deutsch-franz","Elysée-Vertrag, deutsch-französische Beziehungen, Internationale Beziehungen, Erster Weltkrieg, Zweiter Weltkrieg, Zweiter Weltkrieg, europäische Union"
Deutschlands Rolle in Europa - zwischen innenpolitischen Herausforderungen und internationaler Verantwortung,Deutschland 2015: Unser Land - unsere Zukunft,https://www.bpb.de/mediathek/205288/deutschlands-rolle-in-europa-zwischen-innenpolitischen-herausforderungen-und-internationaler-verantwortung,"Am 1. April 2015 luden das Bundesministerium des Innern und die Bundeszentrale für politische Bildung zur dritten von vier Dialogveranstaltungen aus der Reihe ""Deutschland 2015: Unser Land - unsere Zukunft"" nach Dresden ein. Hier sind die Eindrücke v","Deutsche Einheit, Verantwortung, Internationale Politik, Europapolitik"
DiBiGe: Zusammenschnitt,Weitere Informationen,https://www.bpb.de/mediathek/246346/dibige-zusammenschnitt,"Zusammenschnitt ""Digitale Bildung & Geflüchtete""","Migration, Integration, Geflüchtete, Open Space Digitale Bildung & Geflüchtete"
"Die ""Goldene Morgenröte"" in Griechenland",Im Interview: Vassiliki Georgiadou von der Pantion-Universität in Athen,https://www.bpb.de/mediathek/182494/die-goldene-morgenroete-in-griechenland,"Vassiliki Georgiadou beschreibt die ultrarechte griechische Partei Chrysi Avgi, die ""Goldenen Morgenröte"" und die Gründe für ihr Erstarken in Zeiten der wirtschaftlichen und politischen Krise.","Rechtspopulismus, Goldene Morgenröte, Chrysi Avgi, Europawahl, Rechtsextremismus, Rechtsradikalismus, Partei"
"Die ""Wahrheit"" in Zeiten von Corona",Verschwörungstheorien und Mythen rund um das Virus,https://www.bpb.de/mediathek/307021/die-wahrheit-in-zeiten-von-corona,"In dem Podcast ""Die 'Wahrheit' in Zeiten von Corona"" interviewt der Journalist Axel Schröder Expertinnen und Experten zum Thema Verschwörungstheorien rund um die globale Pandemie. Wer soll laut den Videos auf Youtube und Facebook hinter der Verbreitu","Corona, Verschwörungstheorien, Fake-News, Antisemitismus"
"Die ""Überflüssigen"" - oder wie Menschen in die Unsichtbarkeit gedrängt werden",Streitraum vom 12.12.2011,https://www.bpb.de/mediathek/150601/die-ueberfluessigen-oder-wie-menschen-in-die-unsichtbarkeit-gedraengt-werden,"Eine Diskussion mit Julia Friedrichs, Volker Lösch und Sonia Seymour Mikich, moderiert von Carolin Emcke","Armut, Arbeitslosigkeit, Sozialer Wandel, soziale Ungleichheit, Wirtschaft"
Die 68er und die Frage nach der Gewalt,"Kurzer Sommer, lange Wirkung - eine virtuelle Gesprächsrunde",https://www.bpb.de/mediathek/190171/die-68er-und-die-frage-nach-der-gewalt,Stellte Gewalt für die 68er ein legitimes Mittel zur Durchsetzung ihrer Ziele dar?,"68er, APO, APO / Studentenbewegung, Gesellschaftskritik, Gewalt"
Die 68er und die Vergangenheit,"Kurzer Sommer, lange Wirkung - eine virtuelle Gesprächsrunde",https://www.bpb.de/mediathek/190162/die-68er-und-die-vergangenheit,Welchen Einfluss hatte die deutsche Vergangenheit auf die Entstehung der 68er-Generation?,"68er, APO, APO / Studentenbewegung, Gesellschaftskritik, Aufarbeitung der NS-Verbrechen"
"Die Aktion ""Winterreise"" gegen die RAF",Die RAF-Prozesse - Ehemalige Bundesanwälte erinnern sich,https://www.bpb.de/mediathek/190754/die-aktion-winterreise-gegen-die-raf,"Der ehemalige Bundesanwalt Joachim Lampe schildert die Aktion ""Winterreise"" als Beispiel für die Ohnmacht der Justiz in den Anfangsjahren der RAF.","Rote Armee Fraktion, APO / Studentenbewegung, Terrorismus, Rechtsstaat, Justiz"
Die Arier,Ein Dokumentarfilm von Mo Asumang,https://www.bpb.de/mediathek/198266/die-arier,In einer persönlichen Reise begibt sich die Afrodeutsche Mo Asumang auf die Suche nach den Ursprüngen des Arierbegriffs und dessen Missbrauch durch Rassisten in Deutschland und den USA.,"Rassismus, Rechtsextremismus, Neonazismus, Arier"
Die Asche aller Feuer,CO2 - Ein Stoff verändert die Welt,https://www.bpb.de/mediathek/700/die-asche-aller-feuer,"Liegt den gesellschaftlichen Debatten zur Klimapolitik ein hinreichendes Verständis von CO2 zugrunde? Jens Soentgen - Chemiker, Philosoph und Initiator einer CO2-Ausstellung - bezweifelt das im Interview.","Wissenstransfer, Kohlendioxid, Klimawandel, Treibhauseffekt, Umweltpolitik"
Die Bedeutsamkeit kleiner Entscheidungen,Interview mit Christoph Kreutzmüller und Benno Nietzel,https://www.bpb.de/mediathek/194331/die-bedeutsamkeit-kleiner-entscheidungen,Christoph Kreutzmüller und Benno Nietzel im Interview mit Miriam Menzel auf der 4. Internationalen Konferenz zur Holocaustforschung.,"Ausgrenzung, Holocaust, Drittes Reich 1933 - 1945, Nationalsozialismus, Wirtschaft"
Die Behauptung! Bernhard Rohleder und die Netzneutralität,Weitere Informationen,https://www.bpb.de/mediathek/244763/die-behauptung-bernhard-rohleder-und-die-netzneutralitaet,"Dr. Bernhard Rohleder ist Vorstizender des größten Deutschen Vereins für Internetwirtschaft, der BITKOM. Netzdebatte hat ihm ein Statement vorgelegt, das er so nicht stehen lassen kann. Seine Antwort seht ihr hier!","BITKOM, Internet, Datenschutz"
Die Behauptung! Florian Noell und die Netzneutralität,Weitere Informationen,https://www.bpb.de/mediathek/244761/die-behauptung-florian-noell-und-die-netzneutralitaet,"Florian Noell ist Vorsitzender des Bundesverbands deutscher Start-Ups. Netzdebatte hat ihm ein Statement vorgelegt, das er so nicht stehen lassen kann. Seine Antwort seht ihr hier! Mehr zum Thema Netzneutralität und Regulierung im Netz findet ihr auß","Netzneutralität, Regulierung, Start-Up"
Die Bevölkerung Frankreichs,"Eine Folge aus der Reihe ""Mit offenen Karten""",https://www.bpb.de/mediathek/178829/die-bevoelkerung-frankreichs,Die Demographie Frankreichs ist geprägt von einer vergleichsweise hohen Geburtenrate und einer zunehmenden Überalterung. Welche Auswirkungen hat das auf die französischen Gesellschaft?,"Demographie, Familienpolitik, Alter, Geburtenrate"
Die Bundesarbeitsgemeinschaft Kirche und Rechtsextremismus,Im Gespräch mit Dr. Christian Staffa,https://www.bpb.de/mediathek/177541/die-bundesarbeitsgemeinschaft-kirche-und-rechtsextremismus,Die Bundesarbeitsgemeinschaft Kirche und Rechtsextremismus (BAG K+R) gründete sich im Zuge der Demonstrationen gegen die Neonaziaufmärsche in Dresden. Ein Gespräch mit Dr. Christian Staffa über die Arbeit der BAG K+R für Demokratie und Menschenrechte,"Dresden, Initiativen gegen Rechtsextremismus, Gesellschaft, Gesellschaftskritik, Rechtsextremismus, Religion"
Die Bundestagswahl 2017,Hintergrund aktuell - zum Nachhören,https://www.bpb.de/mediathek/256260/die-bundestagswahl-2017,Deutschland wählt am 24. September den 19. Deutschen Bundestag. 42 Parteien stehen zur Wahl. Nach aktuellen Umfragen könnten sieben Parteien in den Bundestag einziehen. ,"Bundestagswahl 2017, Wahlen, Demokratie, Koalition, Fünf-Prozent-Hürde, Spitzenkandidat, Wahlumfragen, Demoskopie, Thorsten Faas"
Die Bundestagswahl unter dem Einfluss neuer Medien,Checkpoint bpb – die Montagsgespräche vom 11. September 2017,https://www.bpb.de/mediathek/257004/die-bundestagswahl-unter-dem-einfluss-neuer-medien,"Der Wahlkampf für die Bundestagswahlen läuft auf Hochtouren: Die Parteien werben auch hierzulande verstärkt in den sozialen Medien. Wie wird der Wahlkampf von Instagram, Twitter und Snapchat beeinflusst und wo findet die politische Debatte eigentlich","Bundestagswahl 2017, Medien, Internet, Soziale Medien"
Die Bundestagswahl unter dem Einfluss neuer Medien,Wie das digitale Zeitalter unsere Debattenkultur und unser Wahlverhalten prägt,https://www.bpb.de/mediathek/256066/die-bundestagswahl-unter-dem-einfluss-neuer-medien,"Wahlkampf via Instagram, Twitter, Facebook..., verlässliche Wahlprognosen und Hackerangriffe: wie beeinflusst uns das digitale Wahlzeitalter?  ","Bundestagswahl, Wahlen, Wahlprognose, Soziale Medien, digital, Demokratie, Wahlbeteiligung, Partizipation, Manipulation"
Die Chinesen sind begeisterte Urbanisten,Eduard Kögel im Video-Interview,https://www.bpb.de/mediathek/556/die-chinesen-sind-begeisterte-urbanisten,"Die Chinesen lebten gerne in Hochhäusern, so Eduard Kögel, Dipl.-Ingenieur und Experte für Stadtplanung und Städtebau in China.","Gesellschaft, Architektur, öffentlicher Raum, Stadtentwicklung"
Die Crowd als Kapital – Interview mit Claudia Pelzer,Inhalt,https://www.bpb.de/mediathek/245024/die-crowd-als-kapital-interview-mit-claudia-pelzer,"Die Zukunft der Arbeit ist in ihren Grundzügen bereits sichtbar, meint Claudia Pelzer, Gründerin des deutschen Crowdsourcing Verbands. Der strukturelle Wandel, weg von der klassischen 40-Stunden-Woche,  hin zu flexibleren Arbeitsmodellen ist in große","Zukunft, Arbeit, Zukunft der Arbeit, Crowd, Crowdsourcing, Crowdwork, Flexibilisierung, Digitalisierung, Arbeitsmodelle, Jobs, Arbeit 4.0, Politik"
Die Deutschlandrente erklärt!,Weitere Informationen,https://www.bpb.de/mediathek/245056/die-deutschlandrente-erklaert,Gerade werden viele verschiedene Vorschläge für die Reformierung des Rentensystems diskutiert. Dr. Laura Romeu Gordo vom Deutschen Zentrum für Altersfragen erklärt wie einer davon - die so genannte Deutschlandrente - funktionieren könnte.,"Deutschlandrente, Sozialversicherung, Rente, Altersvorsorge"
"Die EU in der Kritik: ""Die EU-Mitgliedsstaaten sparen zu viel.""",Interview mit Daniela Schwarzer,https://www.bpb.de/mediathek/183381/die-eu-in-der-kritik-die-eu-mitgliedsstaaten-sparen-zu-viel-,"In Europa gebe es eine intensive Diskussion, wie viel die EU-Mitgliedsstaaten sparen sollten, um ihre Haushalte zu konsolidieren, sagt Daniela Schwarzer, Leiterin des Europa-Programms des German Marshall Funds. ""In einigen Ländern ist Austeritätspoli","Austerität, Schulden, Haushaltspolitik, Internationale Politik, Europawahl, Europapolitik, europäische Union, Finanzkrise"
"Die EU in der Kritik: ""Die Europäische Union hat es versäumt, eine gemeinsame Vision für das 21. Jahrhundert zu formulieren.""",Interview mit Almut Möller,https://www.bpb.de/mediathek/183382/die-eu-in-der-kritik-die-europaeische-union-hat-es-versaeumt-eine-gemeinsame-vision-fuer-das-21-jahrhundert-zu-formulieren-,"Viele Menschen hätten das Gefühl, die Europäische Union sei eigentlich ein leeres Versprechen, sagt Almut Möller von der Deutschen Gesellschaft für Auswärtige Politik. ""Das, was Europa bringen sollte, ist nur zum Teil erreicht.""","Europawahl, Europäische Integration, europäische Union"
Die EU in der Kritik: Ist die EU undemokratisch organisiert?,Interview mit Hartmut Marhold,https://www.bpb.de/mediathek/182493/die-eu-in-der-kritik-ist-die-eu-undemokratisch-organisiert,"Manche Kritiker monieren, die Europäische Union sei undemokratisch organisiert. Hartmut Marhold vom Centre international de formation européenne (CIFE) erläutert Positionen und Argumente der Debatte.","Europawahl, Europapolitik, Wahl, europäische Union, Demokratiedefizit, Demokratie"
Die Entpolitisierung der Zeitung,Dieter Schreier im Interview,https://www.bpb.de/mediathek/273/die-entpolitisierung-der-zeitung,"Die Entpolitisierung der Zeitung ist auch ein hausgemachtes Problem. Das sagt Dieter Schreier, Chefredakteur des Hanauer Anzeigers. Infotainment statt politische Fakten und die professionelle Pressearbeit der Parteien seien die Hauptgründe. Im Interv","Journalismus, Druckmedien, Politik, Lokaljournalismus, Demokratie, Medien"
Die Entstehung des Rassismus,"Eine Folge aus der Reihe ""Mit offenen Karten""",https://www.bpb.de/mediathek/178985/die-entstehung-des-rassismus,"Obwohl es wissenschaftlich bewiesen ist, dass alle Menschen denselben Ursprung haben, ist weiterhin die Meinung weit verbreitet, dass es verschiedene Rassen von unterschiedlichem Wert gibt. Wie haben sich solche rassistischen Einstellungen entwickelt","Rassismus, Entstehungsgeschichte, Kolonialisierung, Diskrimminierung"
Die Entstehung des Ruhestandes,"Ein Beitrag aus der Reihe ""Geschichte als Film – Sozialpolitik: Gestern, heute, morgen""",https://www.bpb.de/mediathek/268349/die-entstehung-des-ruhestandes,Heutzutage ist der Ruhestand als eine eigene Lebensphase fest etabliert. Doch zwischen der  Bismarck'schen Invaliditäts- und Altersversicherung von 1888 und dem Drei-Säulen-Modell im wiedervereinigten Deutschland hat sich dieser Teil der Sozialversic,"Rente, Invaliditäts- und Altersversicherung, Rentenerhöhung, Rentendynamisierung, Umlageverfahren, kapitalgedecktes Verfahren, Drei-Säulen-Modell"
Die Erinnerung...,...der Deutschen und der Zwangsarbeiter,https://www.bpb.de/mediathek/227599/die-erinnerung-,"Die Erinnerung der Deutschen und der Zwangsarbeiter. Zwei Zeitzeuginnen und ein Zeitzeuge berichten, wie sie die Erinnerungskultur der Deutschen erleben und wie sie selbst sich an die Zwangsarbeit erinnern. Ausschnitte aus den Video-Interviews mit Si","Zwangsarbeit, Erinnerungskultur, Nationalsozialismus, Zweiter Weltkrieg, Zweiter Weltkrieg, Weißrussland, Polen, Ukraine"
Die Familie Chotzen,Lebenswege einer jüdischen Familie von 1914 bis heute,https://www.bpb.de/mediathek/921/die-familie-chotzen,"Auf der Website www.chotzen.de wird die Geschichte einer deutsch-jüdischen Familie vom Beginn des Ersten Weltkriegs bis heute erzählt. Mit vielen Fotos, Filmen und Dokumenten.","Oral History, jüdisches Leben heute, Judenverfolgung, Judenvernichtung, Drittes Reich 1933 - 1945, Holocaust, Nationalsozialismus"
Die Folgen der Automatisierung: Müssen wir um unsere Arbeit fürchten?,Inhalt,https://www.bpb.de/mediathek/245036/die-folgen-der-automatisierung-muessen-wir-um-unsere-arbeit-fuerchten,"Nehmen die Roboter uns die Arbeit weg? Sind wir in Zukunft überflüssig? Oder haben wir einfach mehr Zeit uns den wirklich wichtigen Dingen zu widmen? Ortwin Renn ist Risikoforscher. Unter anderem erforscht er in seiner Arbeit auch die Ängste, die Men","Netzdebatte, Robotik, Zukunft der Arbeit, Arbeit 4.0, Risikoforschung"
Die Frauen der Solidarność,Ein Dokumentarfilm von Marta Dzido und Piotr Śliwowski,https://www.bpb.de/mediathek/238567/die-frauen-der-solidarno,"Anfang der 1980er Jahre zählt die freie und selbstverwaltete polnische Gewerkschaft Solidarność über 10 Millionen Mitglieder. Die Hälfte davon sind Frauen. Der Film ""Die Frauen der Solidarność "" rekonstruiert ihre bisher kaum erzählte Geschichte. Die","Gewerkschaft, Frauen, Solidarnosc, Osteuropa, Kommunismus, Ostblock, Politik, Dokumentarfilm, Arbeitswelt, Streik, Arbeiter"
Die Frauen der Solidarność (OmU),Ein Dokumentarfilm von Marta Dzido und Piotr Śliwowski,https://www.bpb.de/mediathek/238553/die-frauen-der-solidarno-omu,"Anfang der 1980er Jahre zählt die freie und selbstverwaltete polnische Gewerkschaft Solidarność über 10 Millionen Mitglieder. Die Hälfte davon sind Frauen. Der Film ""Die Frauen der Solidarność "" rekonstruiert ihre bisher kaum erzählte Geschichte. Die","Gewerkschaft, Frauen, Solidarnosc, Osteuropa, Kommunismus, Ostblock, Politik, Dokumentarfilm, Arbeitswelt, Streik, Arbeiter"
Die Freunde als Stasi-Spitzel,Die Eröffnung der Gauckbehörde,https://www.bpb.de/mediathek/728/die-freunde-als-stasi-spitzel,"Die erste offizielle Akteneinsicht offenbart es: die Stasi versuchte, ganze Biografien zu zerstören. KONTRASTE gewährt exklusive Einblicke in die Akten prominenter Bürgerrechtler.","Akteneinsicht, Ministerium für Staatssicherheit, DDR 1949 - 1990 / Opposition, Geheimdienst, BStU"
Die Gagwerkstatt,Weitere Informationen,https://www.bpb.de/mediathek/287344/die-gagwerkstatt,Johanna nimmt uns in diesem Beitrag mit hinter die Kulissen des Humors und ergründet was politische Bildung mit Humor zu tun haben kann. Ein Beitrag von Johanna Wolleschensky.,"14. Bundeskongress politische Bildung 2019, Emotionen in Politik und Gesellschaft, Audio, Johanna Wolleschensky, Gagwerkstatt"
Die Geschichte der Familie Brodmann,Inhalt,https://www.bpb.de/mediathek/652/die-geschichte-der-familie-brodmann,Kurt Brodmann berichtet von seiner Kindheit in Wien und den unterschiedlichen Wegen seiner jüdischen Familienmitglieder ins Exil.,"Kindertransport, Jüdische Geschichte, Exil, Flucht, Holocaust, Zweiter Weltkrieg, Zweiter Weltkrieg, Oral History"
Die Geschichte hat sich selbst erzählt,"Christian Stahl über seinen Dokumentarfilm ""Gangsterläufer""",https://www.bpb.de/mediathek/204873/die-geschichte-hat-sich-selbst-erzaehlt,"Christian Stahl ist der Regisseur von ""Gangsterläufer"". Im Interview erzählt er von Dreharbeiten, von der Machart sowie über seine Motivation, Yehya E. zu begleiten.","Flucht, Flüchtling, Duldung, Kriminalität, Gewalt, Jugend, Jugendliche, New Journalism, Dokumentarfilm, Palästinenser, Neukölln, Berlin, Familie, Integration, Intensivtäter, Kriegsflüchtling, Migration, Jugendkriminalität"
